absonancia,
alvissaras,
astenia,
babugem,
beneplacito,
cinesia,
duidade,
encomio,
empedernido,
fleumatico,
gorjear,
homizio,
lancinante,
macambuzio,
mendacioso,
nefelibata,
odiento,
pacovio,
quintessencia,
recondito,
rufiao,
sectario,
ubere,
urze,
vituperio,
verossimilhança,
xaropear,
zenite,
zeugma,
